id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
810,Đồng nghĩa,,"Ich habe mir die Telefonnummer schnell ""aufgeschrieben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",achtgeben,sich vorstellen lassen,"erhalten, kriegen",notieren,notieren,aufschreiben,schrieb auf,"viết ra, ghi chú",Tôi đã nhanh chóng ghi lại số điện thoại.,,
811,Đồng nghĩa,,"Sie hat heute müde ""ausgesehen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",wechseln,wirken,zusammenstoßen,sich bilden,wirken,aussehen,sah aus,trông như,Hôm nay trông cô ấy có vẻ mệt mỏi.,,
812,Đồng nghĩa,,"Wir haben zwei Pizzen ""bestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einwickeln,auffordern,wirken,ordern,ordern,bestellen,bestellte,đặt hàng,Chúng tôi đã đặt hai chiếc pizza.,,
813,Đồng nghĩa,,"Er hat schon immer ein großes Talent ""besessen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",errichten,erzählen,haben,verteilen,haben,besitzen,besaß,sở hữu,Anh ấy vốn luôn sở hữu một tài năng lớn.,,
814,Đồng nghĩa,,"Der Kranke hat sich langsam ""aufgerichtet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verwenden,aufstellen,vorlesen,nutzen,aufstellen,aufrichten,richtete auf,dựng thẳng lên,Người bệnh đã từ từ ngồi dậy được.,,
815,Đồng nghĩa,,"Die Lehrerin hat die Bücher an alle Schüler ""verteilt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",schließen,ausschalten,austeilen,teilnehmen,austeilen,verteilen,verteilte,phân phát,Cô giáo đã phát sách cho tất cả học sinh.,,
816,Đồng nghĩa,,"Seit dem Unfall sind schon drei Jahre ""vergangen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",darlegen,öffnen,verstreichen,enden,verstreichen,vergehen,verging,trôi qua (thời gian),Đã ba năm trôi qua kể từ vụ tai nạn.,,
817,Đồng nghĩa,,"Der Friseur hat mir die Haare kurz ""abgeschnitten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",öffnen,hinuntersteigen,zurücknehmen,wegschneiden,wegschneiden,abschneiden,schnitt ab,cắt bỏ; đạt kết quả (thi),Thợ cắt tóc đã cắt tóc tôi ngắn.,,
818,Đồng nghĩa,,"Er hat die Regeln immer genau ""eingehalten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",starten,fallen lassen,austeilen,befolgen,befolgen,einhalten,hielt ein,tuân thủ,Anh ấy luôn tuân thủ nghiêm ngặt các quy tắc.,,
819,Đồng nghĩa,,"Er hat sich schnell ""umgedreht"" und ist weggegangen. — Từ nào đồng nghĩa với từ trong ngoặc kép?",anziehen (mũ),wenden,mitmachen,starten,wenden,umdrehen,drehte um,"xoay ngược lại, quay đầu",Anh ấy đã nhanh chóng quay người lại và bỏ đi.,,
820,Đồng nghĩa,,"Er hat endlich seinen Fehler ""eingesehen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erkennen,wiedergeben,versäumen,entfallen,erkennen,einsehen,sah ein,"nhận ra, hiểu ra",Cuối cùng anh ấy đã nhận ra sai lầm của mình.,,
821,Đồng nghĩa,,"Der Ballon ist langsam ""aufgestiegen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",veräußern,erzwingen,hochsteigen,verlassen,hochsteigen,aufsteigen,stieg auf,leo lên; thăng chức,Khinh khí cầu đã từ từ bay lên.,,
822,Đồng nghĩa,,"Sein seltsames Verhalten ist mir sofort ""aufgefallen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",begleiten,bemerkbar sein,verordnen,ausmachen,bemerkbar sein,auffallen,fiel auf,gây chú ý,Hành vi kỳ lạ của anh ấy khiến tôi chú ý ngay.,,
823,Đồng nghĩa,,"So etwas ist mir noch nie ""vorgekommen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",beschuldigen,hineingehen,"passieren, geschehen",hoffen auf,"passieren, geschehen",vorkommen,kam vor,xảy ra,Chuyện như thế này chưa từng xảy ra với tôi.,,
824,Đồng nghĩa,,"Die Gefahr konnte gerade noch ""abgewendet"" werden. — Từ nào đồng nghĩa với từ trong ngoặc kép?","erhalten, kriegen",verhindern,präsentieren,einbeulen,verhindern,abwenden,wendete ab,ngăn chặn; quay đi,Mối nguy hiểm đã vừa kịp được ngăn chặn.,,
825,Đồng nghĩa,,"Wir sind früh am Morgen zur Reise ""aufgebrochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",betrachten,veräußern,nachfragen,losgehen,losgehen,aufbrechen,brach auf,lên đường; cạy mở,Chúng tôi đã lên đường từ sáng sớm.,,
826,Đồng nghĩa,,"Der Fahrer hat den Motor kurz ""angefahren"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verpacken,einlenken,starten,verleihen,starten,anfahren,fuhr an,khởi động xe; đâm vào,Tài xế đã khởi động động cơ một lát.,,
827,Đồng nghĩa,,"Der Lehrer hat die Schüler zur Ruhe ""aufgerufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",auffordern,zusagen,hochsteigen,verlassen,auffordern,aufrufen,rief auf,kêu gọi; gọi tên,Thầy giáo đã kêu gọi học sinh giữ trật tự.,,
828,Đồng nghĩa,,"Die Kinder haben sich warm ""angezogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",signieren,bekleiden,öffnen,interpretieren,bekleiden,anziehen,zog an,mặc quần áo,Bọn trẻ đã mặc quần áo ấm.,,
829,Đồng nghĩa,,"Zum Zeitpunkt der Entscheidung haben noch keine Beweise ""vorgelegen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",greifen,verkünden,existieren,kontrollieren,existieren,vorliegen,lag vor,"có sẵn, tồn tại (hồ sơ)","Tại thời điểm ra quyết định, chưa có bằng chứng nào tồn tại.",,
830,Đồng nghĩa,,"Die Schüler haben dem Lehrer aufmerksam ""zugehört"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erlauben,importieren,lauschen,groß werden,lauschen,zuhören,hörte zu,lắng nghe,Học sinh đã lắng nghe thầy giáo một cách chăm chú.,,
831,Đồng nghĩa,,"Der Chef hat die Aufgabe schon ""vergeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verleihen,ausschalten,abreisen,entsorgen,verleihen,vergeben,vergab,trao tặng; tha thứ,Sếp đã giao việc đó rồi.,,
832,Đồng nghĩa,,"Der Journalist hat meine Worte in seinem Artikel ""verdreht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",umstoßen,verzerren,schrumpfen,vorführen,verzerren,verdrehen,verdrehte,vặn xoắn; xuyên tạc,Nhà báo đã xuyên tạc lời nói của tôi trong bài viết.,,
833,Đồng nghĩa,,"Der Fahrer hat die Geschwindigkeitsgrenze ""übertreten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",inhalieren,erwerben,verletzen,öffnen,verletzen,übertreten,übertrat,vi phạm / chuyển sang,Tài xế đã vi phạm giới hạn tốc độ.,,
834,Đồng nghĩa,,"Er hat den Raum leise ""betreten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hineinfahren,hineingehen,verlassen,bedrängen,hineingehen,betreten,betrat,bước vào,Anh ấy đã bước vào phòng một cách nhẹ nhàng.,,
835,Đồng nghĩa,,"Wir haben heute im Supermarkt ""eingekauft"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",shoppen,geschehen,enden,senden,shoppen,einkaufen,kaufte ein,mua sắm,Hôm nay chúng tôi đã đi mua sắm ở siêu thị.,,
836,Đồng nghĩa,,"Für dieses Projekt ist mehr Zeit ""vorgesehen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausschalten,planen,ausstatten,entfallen,planen,vorsehen,sah vor,dự định; đề phòng,Nhiều thời gian hơn đã được dự trù cho dự án này.,,
837,Đồng nghĩa,,"Die Gurken wurden in Essig ""eingelegt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",wechseln,beginnen,einfügen,haben,einfügen,einlegen,legte ein,đặt vào; ngâm thực phẩm,Dưa chuột đã được ngâm trong giấm.,,
838,Đồng nghĩa,,"Für dieses Rezept wird viel Zucker ""verwendet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",sich erheben,einsammeln,benutzen,stoppen,benutzen,verwenden,verwendete,sử dụng,Công thức này cần dùng nhiều đường.,,
839,Đồng nghĩa,,"Die beiden Kollegen haben sich nach dem Streit wieder gut ""vertragen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einholen,sich gut verstehen,verfallen,präsentieren,sich gut verstehen,vertragen,vertrug,chịu đựng được; hòa hợp,Hai đồng nghiệp đã hòa thuận trở lại sau cuộc cãi vã.,,
840,Đồng nghĩa,,"Der Fremde hat mich auf der Straße ""angesprochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",senden,anreden,shoppen,weglassen,anreden,ansprechen,sprach an,bắt chuyện; đề cập,Người lạ đã bắt chuyện với tôi trên đường.,,
841,Đồng nghĩa,,"Die Information wurde sofort an alle ""weitergegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",bemerken,haben,übermitteln,überprüfen,übermitteln,weitergeben,gab weiter,chuyển tiếp,Thông tin đã được chuyển tiếp ngay đến mọi người.,,
842,Đồng nghĩa,,"Die Großeltern haben die Enkelkinder ""aufgezogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",großziehen,abrücken,zerschneiden,ausschalten,großziehen,aufziehen,zog auf,nuôi dạy; kéo lên,Ông bà đã nuôi dạy các cháu.,,
843,Đồng nghĩa,,"Ich habe den Brief in den Briefkasten ""eingeworfen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",errichten,einstecken,anreden,auffordern,einstecken,einwerfen,warf ein,bỏ vào hòm thư; chen vào,Tôi đã bỏ lá thư vào hòm thư.,,
844,Đồng nghĩa,,"Der Bus hat an der Ampel ""angehalten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zerschneiden,stoppen,erwerben,schrumpfen,stoppen,anhalten,hielt an,dừng lại,Xe buýt đã dừng lại ở đèn giao thông.,,
845,Đồng nghĩa,,"Wir haben einen Termin für nächste Woche ""ausgemacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",telefonieren,ausschalten,reduzieren,verüben (tội),ausschalten,ausmachen,machte aus,tắt (đèn); thỏa thuận,Chúng tôi đã hẹn một cuộc gặp vào tuần sau.,,
846,Đồng nghĩa,,"Sie hat ihren neuen Freund ""vorgestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausstatten,präsentieren,bestimmen,importieren,präsentieren,vorstellen,stellte vor,giới thiệu,Cô ấy đã giới thiệu bạn trai mới của mình.,,
847,Đồng nghĩa,,"Die Kosten haben insgesamt tausend Euro ""betragen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verhüllen,informieren,verlegen,ausmachen,ausmachen,betragen,betrug,có giá trị là (số tiền); cư xử,Tổng chi phí đã lên tới một nghìn euro.,,
848,Đồng nghĩa,,"Der Regen hat endlich ""aufgehört"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verteilen,beginnen,kaputtgehen,beenden,beenden,aufhören,hörte auf,dừng lại,Cuối cùng mưa cũng đã tạnh.,,
849,Đồng nghĩa,,"Der Fahrer hat mich vor dem Bahnhof ""abgesetzt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",vorhersagen,hinstellen,existieren,zertrümmern,hinstellen,absetzen,setzte ab,thả xuống; phế truất,Tài xế đã thả tôi xuống trước nhà ga.,,
850,Đồng nghĩa,,"Ich habe ihm das Fahrrad günstig ""abgekauft"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",enthüllen,senden,erwerben,leiten,erwerben,abkaufen,kaufte ab,mua lại (của ai),Tôi đã mua lại chiếc xe đạp của anh ấy với giá rẻ.,,
851,Đồng nghĩa,,"Das Papier wurde in kleine Stücke ""zerschnitten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hineingehen,erscheinen,zerteilen,versäumen,zerteilen,zerschneiden,zerschnitt,cắt vụn,Tờ giấy đã bị cắt thành từng mảnh nhỏ.,,
852,Đồng nghĩa,,"Das Gebäude wird rund um die Uhr ""bewacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",kontrollieren,beschützen,vorführen,verstreichen,beschützen,bewachen,bewachte,canh gác,Tòa nhà được canh gác suốt ngày đêm.,,
853,Đồng nghĩa,,"Ich habe die Information aus dem Internet ""bezogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einziehen,teilnehmen,nachfragen,präsentieren,einziehen,beziehen,bezog,chuyển đến; lấy (từ nguồn),Tôi đã lấy thông tin từ Internet.,,
854,Đồng nghĩa,,"Er hat mir Hilfe ""versprochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zusagen,entsorgen,zerschneiden,fertiglesen,zusagen,versprechen,versprach,hứa,Anh ấy đã hứa giúp đỡ tôi.,,
855,Đồng nghĩa,,"Er hat sein altes Auto ""verkauft"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",kündigen,ausführen,veräußern,"verhören, hören",veräußern,verkaufen,verkaufte,bán,Anh ấy đã bán chiếc xe cũ của mình.,,
856,Đồng nghĩa,,"Die Firma hat neue Technologien ""eingesetzt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",umwandeln,verknüpfen,verwenden,Eigentum sein von,verwenden,einsetzen,setzte ein,sử dụng; lắp vào,Công ty đã sử dụng các công nghệ mới.,,
857,Đồng nghĩa,,"Sie ist ohne ein Wort ""weggegangen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",aufbrechen,orientieren,ausmachen,verlassen,verlassen,weggehen,ging weg,rời đi,Cô ấy đã bỏ đi mà không nói một lời.,,
858,Đồng nghĩa,,"Wir sind letztes Jahr in eine neue Wohnung ""umgezogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",freilassen,übersiedeln,rezitieren,überprüfen,übersiedeln,umziehen,zog um,chuyển nhà; thay đồ,Năm ngoái chúng tôi đã chuyển đến căn hộ mới.,,
859,Đồng nghĩa,,"Das Holz hat sich durch die Feuchtigkeit ""verzogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?","erhalten, kriegen",mitkommen,"begreifen, kapieren",umziehen,umziehen,verziehen,verzog,chuyển nhà; biến dạng,Gỗ đã bị biến dạng do độ ẩm.,,
860,Đồng nghĩa,,"Ich habe den Fernseher ""eingeschaltet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",anmachen,zerteilen,erklären,erzwingen,anmachen,einschalten,schaltete ein,bật (thiết bị),Tôi đã bật tivi.,,
861,Đồng nghĩa,,"Letzte Nacht ist bei uns jemand ""eingebrochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einziehen,verüben (tội),eindringen,herausfließen,eindringen,einbrechen,brach ein,đột nhập; sập xuống,Đêm qua ai đó đã đột nhập vào nhà chúng tôi.,,
862,Đồng nghĩa,,"Das Treffen wurde auf nächste Woche ""verlegt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zerschneiden,verschieben,verbinden,einstecken,verschieben,verlegen,verlegte,dời đi; làm thất lạc,Buổi gặp mặt đã được dời sang tuần sau.,,
863,Đồng nghĩa,,"Der Sänger ist gestern zum ersten Mal ""aufgetreten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",renovieren,ausstatten,erscheinen,kopieren,erscheinen,auftreten,trat auf,xuất hiện; biểu diễn,Hôm qua ca sĩ đã biểu diễn lần đầu tiên.,,
864,Đồng nghĩa,,"Alle Kinder haben bei dem Spiel ""mitgespielt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",präsentieren,teilnehmen,geschehen,mitkommen,teilnehmen,mitspielen,spielte mit,"chơi cùng, tham gia",Tất cả bọn trẻ đã cùng chơi trò chơi đó.,,
865,Đồng nghĩa,,"Er hat das Gespräch plötzlich ""abgebrochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",stoppen,verteilen,erklären,aufgeben,aufgeben,abbrechen,brach ab,hủy bỏ; gãy,Anh ấy đột nhiên chấm dứt cuộc trò chuyện.,,
866,Đồng nghĩa,,"Die neue Wohnung wurde schön ""eingerichtet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausstatten,einziehen,greifen,herausschneiden,ausstatten,einrichten,richtete ein,trang bị nội thất; sắp đặt,Căn hộ mới đã được trang trí đẹp mắt.,,
867,Đồng nghĩa,,"Die Proteste wurden vom Militär ""unterdrückt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",sich ausruhen,öffnen,betreten,bedrängen,bedrängen,unterdrücken,unterdrückte,"đàn áp, kìm nén",Các cuộc biểu tình đã bị quân đội đàn áp.,,
868,Đồng nghĩa,,"Er hat seinen Fehler sofort ""zugegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erledigen,gestehen,verlieren,aufbrechen,gestehen,zugeben,gab zu,thừa nhận,Anh ấy đã thừa nhận lỗi của mình ngay lập tức.,,
869,Đồng nghĩa,,"Diese Methode ist offiziell nicht ""zugelassen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",sich gut verstehen,"canceln, stornieren",erlauben,aufdrehen,erlauben,zulassen,ließ zu,cho phép,Phương pháp này chính thức không được cho phép.,,
870,Đồng nghĩa,,"Das Team ist dieses Jahr in die zweite Liga ""abgestiegen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hinuntersteigen,studieren,telefonieren,schrumpfen,hinuntersteigen,absteigen,stieg ab,xuống; xuống hạng,Năm nay đội bóng đã xuống hạng nhì.,,
871,Đồng nghĩa,,"Er hat sein Versprechen später ""widerrufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zurücknehmen,öffnen,nicht bemerken,freilassen,zurücknehmen,widerrufen,widerrief,rút lại (lời nói),Sau đó anh ấy đã rút lại lời hứa của mình.,,
872,Đồng nghĩa,,"Ich habe im Unterricht nicht gut ""aufgepasst"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",achtgeben,"verhören, hören",ausführen,realisieren,achtgeben,aufpassen,passte auf,"chú ý, trông chừng",Tôi đã không chú ý tốt trong giờ học.,,
873,Đồng nghĩa,,"Sie hat ihren Plan noch einmal ""überdacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",Schlange stehen,erneut überlegen,übermitteln,verlegen,erneut überlegen,überdenken,überdachte,suy xét lại,Cô ấy đã suy xét lại kế hoạch của mình một lần nữa.,,
874,Đồng nghĩa,,"Ich habe das Geheimnis für mich ""behalten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",mitkommen,hinaufklettern,aufbewahren,lösen,aufbewahren,behalten,behielt,giữ lại,Tôi đã giữ bí mật cho riêng mình.,,
875,Đồng nghĩa,,"Das Flugzeug hat Hilfsgüter ""abgeworfen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",fallen lassen,verlassen,senden,eintragen,fallen lassen,abwerfen,warf ab,ném xuống; mang lại lợi nhuận,Máy bay đã thả hàng viện trợ xuống.,,
876,Đồng nghĩa,,"Die Kinder haben ihre Geschenke sofort ""ausgepackt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",öffnen,aufbrechen,einrücken,zertrümmern,öffnen,auspacken,packte aus,mở gói ra,Bọn trẻ đã mở quà ngay lập tức.,,
877,Đồng nghĩa,,"Der Pullover ist beim Waschen ""eingegangen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",schrumpfen,umstoßen,heimsuchen,darstellen,schrumpfen,eingehen,ging ein,co lại; đi vào,Chiếc áo len đã bị co lại khi giặt.,,
878,Đồng nghĩa,,"Ich habe das Formular vollständig ""ausgefüllt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",eintragen,sich vorstellen lassen,"akzeptieren, vermuten",schlucken,eintragen,ausfüllen,füllte aus,điền (biểu mẫu),Tôi đã điền đầy đủ vào biểu mẫu.,,
879,Đồng nghĩa,,"Wir haben ""beschlossen"", früher in den Urlaub zu fahren. — Từ nào đồng nghĩa với từ trong ngoặc kép?",entscheiden,überlegen,bezahlen,verknüpfen,entscheiden,beschließen,beschloss,quyết định,Chúng tôi đã quyết định đi nghỉ sớm hơn.,,
880,Đồng nghĩa,,"Er hat seinen Ausweis am Eingang ""vorgezeigt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",präsentieren,verwenden,leiten,aufbewahren,präsentieren,vorzeigen,zeigte vor,"trình ra, xuất trình",Anh ấy đã xuất trình giấy tờ tùy thân ở lối vào.,,
881,Đồng nghĩa,,"Sie hat den Text komplett ""umgeschrieben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",mitmachen,verschieben,entkleiden,neu formulieren,neu formulieren,umschreiben,schrieb um,viết lại,Cô ấy đã viết lại toàn bộ văn bản.,,
882,Đồng nghĩa,,"Wir sind in Frankfurt in einen anderen Zug ""umgestiegen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",kontrollieren,hoffen auf,wechseln,verleihen,wechseln,umsteigen,stieg um,đổi chuyến (tàu/xe),Chúng tôi đã đổi sang chuyến tàu khác ở Frankfurt.,,
883,Đồng nghĩa,,"Die Familie ist gestern in das Haus ""eingezogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einrücken,greifen,notieren,ausschalten,einrücken,einziehen,zog ein,chuyển vào (nhà),Gia đình đã chuyển vào nhà hôm qua.,,
884,Đồng nghĩa,,"Die Veranstaltung ist gut ""verlaufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",geschehen,betreten,übersiedeln,erklären,geschehen,verlaufen,verlief,diễn ra thế nào; đi lạc,Sự kiện đã diễn ra tốt đẹp.,,
885,Đồng nghĩa,,"Die Mutter hat dem Kind eine Geschichte ""vorgelesen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",rezitieren,zerschneiden,ablaufen,vereinbaren,rezitieren,vorlesen,las vor,đọc to cho nghe,Người mẹ đã đọc truyện cho con nghe.,,
886,Đồng nghĩa,,"Wir haben unsere Großeltern am Wochenende ""besucht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",informieren,"akzeptieren, vermuten",aufsuchen,entkleiden,aufsuchen,besuchen,besuchte,thăm,Cuối tuần chúng tôi đã đi thăm ông bà.,,
887,Đồng nghĩa,,"Diese Möbel werden in Deutschland ""hergestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",beobachten,bestimmen,Eigentum sein von,produzieren,produzieren,herstellen,stellte her,sản xuất,Những món đồ nội thất này được sản xuất tại Đức.,,
888,Đồng nghĩa,,"Wir haben viel Geld für das Hotel ""ausgegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",bezahlen,informieren,haben,lösen,bezahlen,ausgeben,gab aus,chi tiêu; phát ra,Chúng tôi đã chi rất nhiều tiền cho khách sạn.,,
889,Đồng nghĩa,,"Alle Plätze im Zug waren schon ""besetzt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",telefonieren,belegen,fliehen,ausführen,belegen,besetzen,besetzte,chiếm giữ,Tất cả chỗ ngồi trên tàu đều đã có người ngồi.,,
890,Đồng nghĩa,,"Die Touristen sind heute Morgen ""abgereist"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",öffnen,aufbrechen,zeigen,sich anziehen,aufbrechen,abreisen,reiste ab,"khởi hành, lên đường",Sáng nay các du khách đã lên đường rời đi.,,
891,Đồng nghĩa,,"Ich habe das Buch der Bibliothek ""zurückgegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ablehnen,kündigen,retournieren,orientieren,retournieren,zurückgeben,gab zurück,trả lại,Tôi đã trả sách lại cho thư viện.,,
892,Đồng nghĩa,,"Auf dem Konto sind hohe Zinsen ""aufgelaufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?","passieren, geschehen",freilassen,sich ansammeln,einsammeln,sich ansammeln,auflaufen,lief auf,mắc cạn; tích lũy,Lãi suất cao đã tích lũy trong tài khoản.,,
893,Đồng nghĩa,,"Der Bus ist gerade ""ausgefahren"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",enthalten,hinausfahren,integrieren,verpacken,hinausfahren,ausfahren,fuhr aus,lái ra ngoài,Xe buýt vừa mới chạy ra.,,
894,Đồng nghĩa,,"Sie hat das Ergebnis geduldig ""abgewartet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",eintragen,erwachen,warten auf,fertiglesen,warten auf,abwarten,wartete ab,chờ đợi (kết quả),Cô ấy đã kiên nhẫn chờ đợi kết quả.,,
895,Đồng nghĩa,,"Ich habe meinen Koffer schon ""eingepackt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einrücken,starten,verpacken,beenden,verpacken,einpacken,packte ein,"đóng gói, gói lại",Tôi đã đóng gói vali của mình rồi.,,
896,Đồng nghĩa,,"Die Konferenz wurde in Berlin ""abgehalten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",durchführen,heimsuchen,lösen,sich maskieren,durchführen,abhalten,hielt ab,tổ chức; ngăn cản,Hội nghị đã được tổ chức tại Berlin.,,
897,Đồng nghĩa,,"Wir haben uns den Film gestern ""angesehen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",sich maskieren,ausschalten,öffnen,betrachten,betrachten,ansehen,sah an,"nhìn, xem",Hôm qua chúng tôi đã xem bộ phim đó.,,
898,Đồng nghĩa,,"Er hat die Führerscheinprüfung ""bestanden"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",reduzieren,neu formulieren,mitkommen,(eine Prüfung) schaffen,(eine Prüfung) schaffen,bestehen,bestand,đỗ (thi); tồn tại,Anh ấy đã đỗ kỳ thi lái xe.,,
899,Đồng nghĩa,,"Er hat uns sein neuestes Stück am Klavier ""vorgespielt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",kontrollieren,übergeben,verwirklichen,präsentieren,präsentieren,vorspielen,spielte vor,biểu diễn cho ai xem,Anh ấy đã chơi cho chúng tôi nghe bản nhạc mới nhất của mình trên đàn piano.,,
900,Đồng nghĩa,,"Nach der Pause haben wir die Arbeit ""fortgesetzt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",fliehen,weiterführen,präsentieren,entwickeln,weiterführen,fortsetzen,setzte fort,tiếp tục,"Sau giờ nghỉ, chúng tôi đã tiếp tục công việc.",,
901,Đồng nghĩa,,"Er ist auf dem Land ""aufgewachsen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",wirken,groß werden,riskieren,rezitieren,groß werden,aufwachsen,wuchs auf,lớn lên,Anh ấy đã lớn lên ở vùng nông thôn.,,
902,Đồng nghĩa,,"Die Tür ist von selbst ""zugegangen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausschalten,überprüfen,schließen,neu formulieren,schließen,zugehen,ging zu,đóng lại (tự động),Cánh cửa tự đóng lại.,,
903,Đồng nghĩa,,"Wir haben uns in der fremden Stadt ""verfahren"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",abreisen,losgehen,retournieren,sich verirren,sich verirren,verfahren,verfuhr,đi lạc đường,Chúng tôi đã bị lạc đường ở thành phố xa lạ.,,
904,Đồng nghĩa,,"Plötzlich ist ein technisches Problem ""eingetreten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",belauschen,fallen lassen,verbinden,hineingehen,hineingehen,eintreten,trat ein,bước vào; xảy ra,Đột nhiên một sự cố kỹ thuật đã xảy ra.,,
905,Đồng nghĩa,,"Der Zettel wurde ans Brett ""angeschlagen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einsammeln,sich ausruhen,einrücken,befestigen,befestigen,anschlagen,schlug an,dán thông báo; va vào,Tờ giấy đã được dán lên bảng thông báo.,,
